212 / 215 done,Term,Context/Tag/Category,Definition,Original definition,Source,2,Term,Context/Tag/Category,Definition,Source,,Overlap,#VALUE!,,,,,,,,,,,,,,
LM,Sensitive Data,Data in general,"UK Data Protection Regulaiton (UK GDPR) defines sensitive data as Special Category Data and is subject to specific processing conditions under the UK GDPR: personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs; trade-union membership; genetic data, biometric data processed solely to identify a human being; health-related data; data concerning a person’s sex life or sexual orientation.

Commercial data such as retail information, business details, IP (intellectual property) and Copyright information or confidential product details is also be considered sensitive data.

Data sensitivity is be classified at an institutional level within policy documents (e.g. highly confidential, confidential, not classified) with handling requirements and placed on the different levels of confidetiality required. ","Sensitive data includes data which contains personally identifiable information such as names, addresses and identifying numbers. This can still be sensitive once it has been de-identified (has had all personal identifiable information removed) if there is potential for re-identification, particularly when used with other data. Commercial data such as retail information, business details, IP (intellectual property) and Copyright information or confidential product details may also be considered sensitive data",DARE,,,,,,,,,,,,,,,,,,,,,,
RMB,Service Delivery *,Management,Too specific - remove?,"Implementing and delivering services such as information governance, infrastructure, networks, or software solutions in the TRE.",DARE,,,,,,,,,,,,,,,,,,,,,,
SL,Session Virtualization,Computing,"Too generic, remove?",The practice of abstracting and isolating user sessions or interactions from the underlying physical or virtual infrastructure.,DARE,,,,,,,,,,,,,,,,,,,,,,
KO'S,SMI,Health Services & Health Data,Discipline-specific - remove,"Severe Mental Illness (an acronym used by primary and secondary care services, which usually refers to schizophrenia, bipolar or ‘other’ psychosis diagnosis). However it is worth noting that other types of diagnosis can have a ‘severe’ impact on people’s lives such as anxiety or eating disorders dependant on their symptoms, how they can function in the world and context.",DM,,,,,,,,,,,,,,,,,,,,,,
AH,Socio-demographic factors,,"Characteristics of individuals or populations related to social and demographic aspects such as age, gender, ethnicity, socioeconomic status, and education level.","Characteristics of individuals or populations related to social and demographic aspects such as age, gender, ethnicity, socioeconomic status, and education level.",DM,,,,,,,,,,,,,,,,,,,,,,
SL,Software Request Process,Computing,"Too generic, remove?","The procedure or workflow followed to request, review, approve, and deploy software applications or tools within an organisation.",DARE,,,,,,,,,,,,,,,,,,,,,,
KO'S,SSRI,Health Services & Health Data,Discipline-specific - remove,Serotonin Selective Reuptake Inhibitor (a class of antidepressant medication that works using this mechanism),DM,,,,,,,,,,,,,,,,,,,,,,
KO'S,Stakeholders,Health Services & Health Data,Not sure if relevant,"People or groups or organisations who have a strong link, interest or involvement in a project, project area or initiative. They care about the project's outcome and are often directly affected by it.",DM,,,,,,,,,,,,,,,,,,,,,,
SL,Statistical Disclosure Control,Identifiability,The process of ensuring data such as analysis results that are being taken out of a TRE are properly anonymised to ensure no-one can figure out the identity of specific individuals.,"To ensure data is properly anonymised, the goal is to make sure that no one can figure out the identity of specific individuals from the data, even if they use clever mathematical techniques. One way to do this is by grouping information about people into larger groups that contain at least a certain number of people, like 10 individuals. If a group is smaller than this, it's usually reported as having ""less than 10 people"" instead of giving the exact number. Another approach is to combine small groups to make larger ones.
However, the threshold of 10 people is not a strict rule. Sometimes, even data about individuals might not reveal anyone's identity. For example, if you have a list of referral dates from a busy health service, each date corresponds to one person, but it may not disclose who those individuals are.
It's important to remember that while we've been talking about protecting people's identities in health research, the same idea can be applied to other situations, like safeguarding the identification of companies through the analysis of tax data.
Sometimes statistical disclosure control involves reviewing of outputs before they are released to researchers to ensure they meet criteria. Please see the ‘Five Safes’ to learn more.",DM,,,,,,,,,,,,,,,,,,,,,,
SL,Statistics,Analysis,"Too generic, remove?","Statistical analysis is a way of testing research questions (hypotheses) using data. However, it recognises that data can be ""noisy"" and contain all sorts of sources of variation or error, some of which are random (happen by chance) and some are not. Statistical analysis relies on mathematical theory and has been developed and used for more than a hundred years to make sense of data and draw meaningful conclusions.",DM,,,,,,,,,,,,,,,,,,,,,,
KO'S,Structured fields,Health Services & Health Data,"Sections in electronic records where specific information is organised and categorised in a way that makes it easier to analyse. These fields are designed to store data in a standardised format, making it more accessible and consistent for both practitioners (e.g. professionals using the data for their day-to-day roles, such as medical or government professionals) as well as for researchers.","Sections in electronic health records where specific information is organised and categorised in a way that makes it easy to analyse. These fields are designed to store data in a standardised format, making it more accessible and consistent for healthcare professionals and researchers.",DM,,,,,,,,,,,,,,,,,,,,,,
ANO,Structured Query Language (SQL),Computing,A computer programming language designed to organise and work with information stored in relational databases. It allows people to find and use data from databases easily. [BS comment: Do we need a definition for 'relational database'?],"A language that helps organise and work with information stored in databases. It allows people to easily find and use data from databases, like looking up specific information or making changes to the data.",DM,,,,,,,,,,,,,,,,,,,,,,
SL,Structured Data,Data in general,"Structured data is organised and formatted using pre-defined rules, so that computational analysis is easier. For example, structured data is often stored as tables in a database where each column represents a different type of information (like numbers or words), and each cell in the table holds a single piece of data. This organisation helps with sorting, searching, and understanding the data more easily.
See also [Unstructured Data]","Structured data is organised and formatted in a way that makes computer analysis easy. It is typically stored in a database as tables, where each column represents a different type of information (like numbers or words), and each cell in the table holds a single piece of data. This organisation helps with sorting, searching, and understanding the data more easily.
For example, in an EHR system, there might be tables like “patient”, “referral”, “diagnosis”, and “blood test”. The “diagnosis” table might contain columns like “patient number”, “diagnosis code”, “start date”, and “end date”. Other kinds of complex structure may also be used (e.g. for genetic information).",DM,,"Importantly, consent is not a one-time decision—people can withdraw it at any time, reinforcing the need for clear communication between researchers and participants.",,,,,,,,,,,,,,,,,,,,
SL,Study Closure *,Research Management,"The formal conclusion of a research study or project, including final data analysis, reporting, documentation, and archiving.","The formal conclusion of a research study or project, including final data analysis, reporting, documentation, and archiving.",DARE,,,,,,,,,,,,,,,,,,,,,,
LM,Study Management Portal *,Research Management,"An online platform or system that provides centralised access to manage research studies, including onboarding studies, control of access, and administration of compliance tasks .","An online platform or system that provides centralised access to manage research studies, including onboarding studies, control of access, and administration of compliance tasks .",DARE,,,,,,,,,,,,,,,,,,,,,,
LM,Study Manager *,Research Management,"An individual responsible for overseeing and managing a research study or project, including planning, execution, coordination, and reporting.
The study manager is often the point of contact for issues or queries during a clinical trial, such as resolving any problems participants face.","An individual responsible for overseeing and managing a research study or project, including planning, execution, coordination, and reporting.",DARE,,,,,,,,,,,,,,,,,,,,,,
SL,Study Onboarding *,Research Management,"The process of onboarding or initiating a research study, including setting up necessary infrastructure, obtaining approvals, and defining protocols or methodologies.","The process of onboarding or initiating a research study, including setting up necessary infrastructure, obtaining approvals, and defining protocols or methodologies.",DARE,,,,,,,,,,,,,,,,,,,,,,
SL,Study Register,Research Management,A centralised record or database that tracks and manages information about research studies or projects.,A centralised record or database that tracks and manages information about research studies or projects.,DARE,,,,,,,,,,,,,,,,,,,,,,
SL,Supplier Management and Monitoring process,Management,"A structured approach to managing and monitoring relationships with external suppliers, vendors and contractors, including selection, contract management and compliance oversight.","A structured approach to managing and monitoring relationships with external suppliers, vendors and contractors, including selection, contract management and compliance oversight.",DARE,,,,,,,,,,,,,,,,,,,,,,
SL,Technology Stack,Computing,The set of technologies (such as programming languages) that work together to implement a software solution.,The “Technology Stack” (or “Tech Stack”) is the different technologies (such as programming languages) that work together / are being used together for all the parts of a software solution.,DARE,,,,,,,,,,,,,,,,,,,,,,
SL,Text Analytics,Computing,"The process of examining and understanding written information, like electronic health records or other text-based content, to find important and useful insights. It involves analysing the text to identify patterns, trends, or valuable information that can be used for various purposes, such as research or decision-making.","The process of examining and understanding written information, like electronic health records or other text-based content, to find important and useful insights. It involves analysing the text to identify patterns, trends, or valuable information that can be used for various purposes, such as research or decision-making.",DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Top Management,Management,"Too generic?
SL: IIRC this is an iso27001 term, so may be worth keeping?",The people within the TRE organisation accountable for ensuring the TRE is fit for purpose and fit for use.,DARE,,,,,,,,,,,,,,,,,,,,,,
RMB,Training Needs Analysis,Other,Too generic?,"The systematic assessment and identification of training requirements and gaps within an organisation, often through surveys, interviews, or performance evaluations.",DARE,,,,,,,,,,,,,,,,,,,,,,
RMB,Training Records,Other,Too generic?,"Documentation or records that track and manage information related to training activities, including attendance, completion, and certifications to demonstrate competency.",DARE,,,,,,,,,,,,,,,,,,,,,,
KO'S,Treatment response,Health Research,Discipline-specific - remove?,Refers to how a person reacts or responds to a specific treatment or intervention. It describes the outcome or result of the treatment and helps assess its effectiveness in addressing a particular condition or improving a person's health.,DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Trusted Research Environment (TRE),Processes,"TREs are a class of computer systems which enable researchers to access sensitive datasets across administrative boundaries whilst ensuring that overall control of the data stays with appropriate governance authorities. TREs include Secure Data Environments (SDEs) in the National Health Service in England, Safe Havens in Scotland, processing environments as defined in the Digital Economy Act 2017 (DEA) and secure processing environments as defined in European Health Data Space legislation. TREs are typically operated according to information governance practices and processes modelled on the [Five Safes] approach developed by the Office for National Statistics (ONS). ","A secure computing environment, where data can be analysed that is too sensitive to be made public. This might be data that could uncover someone's identity, or information that's been modified to hide personal details but still carries a slight risk of being pieced together to reveal someones identity.
A Trusted Research Environment (TRE) serves as an excellent example of such a safe place. TREs handle various aspects: they control what data and analysis tools are brought in, determine who's allowed entry through strict authentication and authorisation, set the boundaries for what researchers can do, and ensure that any findings don't unintentionally expose confidential information. Many TREs even offer highly secure ""remote desktop"" setups, enabling researchers to work from afar, and some go the extra mile by having cameras to monitor researchers.
The best way to picture it is by comparing it to a secure and monitored library. Imagine a researcher going into the library to read or work on stuff, but they can't take the books away. Plus, anything they do in the library is closely watched and monitored.
To sum up, a TRE provides an absolutely secure and closely monitored setting for working with private data.",DM,,TRE (Trusted Research Environment)  ,Services,"A Trusted Research Environment (TRE) is a secure computing environment that is specifically designed for handling sensitive or confidential data in a way that protects privacy and ensures data security. TREs are used in research and analysis, particularly in fields such as health and social sciences, where data must be handled with care and rigour. TREs are typically used for research projects that require access to sensitive data, such as personally identifiable information, medical records, or financial data. These environments are designed to meet strict security and privacy standards, including data encryption, access controls, and monitoring. TREs are often hosted by trusted third-party organizations, such as government agencies or universities, that have established protocols for managing and securing sensitive data. Researchers are granted access to the TRE only after meeting certain eligibility criteria and going through a rigorous application and approval process. The use of TREs helps to mitigate the risk of data breaches or unauthorized access, while allowing researchers to work with sensitive data in a controlled and secure environment. TREs also provide a framework for ensuring that data is handled in an ethical and responsible manner, in compliance with regulatory and legal requirements.",DARE,"A secure, air-locked computing environment that allows authorized researchers to analyze sensitive or confidential data without it leaving the secure setting. Trusted Research Environments maintain privacy and data protection through strict access controls, secure storage, audit logs, and data minimization. Researchers can typically access pseudonymised record-level data within the TRE but can only export aggregated and approved results, reducing the risk of re-identification or misuse. TREs are widely used in research using sensitive data, allowing analysis of de-identified individual records to generate insights while safeguarding individuals’ privacy [BS attempt, with some help from Claude]",,,,,,,,,,,,,,,,
RMB,TRE Implementer,Services,Too specific,A role involved in Service Delivery.,DARE,,,,,,,,,,,,,,,,,,,,,,
RMB,TRE Infrastructure,Computing,"The set of computing resources used to implement and support a TRE. This may include desktop computers, databases, networking devices, firewalls etc. These resources may be physical (hardware owned by the TRE) or virtual (e.g. resources operated by a cloud provider).","The set of computing resources used to implement and support a TRE. This may include desktop computers, databases, networking devices, firewalls etc. These resources may be physical (hardware owned by the TRE) or virtual (e.g. resources operated by a cloud provider).",DARE,,,,,,,,,,,,,,,,,,,,,,
LW,Unstructured Data,Data in general,"Unstructured data refers to data with little predefined format or structure, making it harder to analyse. Unlike structured data, which is typically organised into rows and columns (e.g. database), unstructured data can take various forms. Examples include free text (e.g. paragraphs/ written information), images (e.g. X-Rays) or scanned documents (e.g. letters), which aren't easily organized for analysis. These data types often require advanced tools and technologies, such as natural language processing or machine learning. 
See also [Structured Data].

Proposed new version (SL):
Unstructured data refers to data with little or no predefined format or rules, making it harder to analyse. Unlike structured data which is often stored as tables in a database, unstructured data can take various forms. Examples include free text such as written documents, images such as photos or scanned documents, and audio/video recordings. These data types often require either manual steps to organise the data, or advanced tools and technologies such as natural language processing or machine learning to analyse them.
See also [Structured Data].","""Unstructured"" data is a bit misleading because all data inherently has some structure. However, researchers use this term to describe data that has limited or challenging structure for analysis electronically. Examples of such unstructured data include free text, like paragraphs of written information, or images such as X-ray or scan pictures, or scanned letters. These types of data are not easily organised in a way that computers can analyse directly, making it more difficult to extract information automatically compared to structured data that follows a format or layout divided for example into categories.",DM,,,,,,,,,,,,,,,,,,,,,,
LW,User Documentation,Computing,"Written materials, guides, manuals, or instructions to assist users. Documentation typically includes information on features, step-by-step procedures and best practices to make it easier for Users to work. An example of this would be user manuals, quick start guides or troubleshooting sections on websites.","Written materials, guides, manuals, or instructions designed to assist users in understanding and effectively using software applications, systems, or processes.",DARE,,,,,,,,,,,,,,,,,,,,,,
RMB,User Interface (UI),Computing,See [Graphical User Interface]; [Command Line Interface],"The way humans interact with a computer is known as the user interface (UI). Databases, which store information, are not very user-friendly, so Electronic Health Record (EHR) systems are designed to present information in a more understandable way for patients and clinicians. EHR systems focus on one patient at a time, making it easier for humans to navigate and enter data rather than a database which might contain information about thousands of patients.
A good EHR user interface (UI) is designed to help users quickly find important information. It prominently displays alerts, such as allergies, to ensure they are noticed. It also makes it easy to enter new information.
Additionally, a good EHR UI may offer ""decision support,"" which means it provides helpful reminders or suggestions. For example, it may warn about potential interactions between two medicines before prescribing them.
In summary, the EHR UI aims to present information in a clear and user-friendly manner, making it easier for humans to interact with the system, find information quickly, enter data efficiently, and receive helpful prompts when needed.",DM,,,,,,,,,,,,,,,,,,,,,,
LW,User Onboarding *,Computing,"The process of introducing and integrating Users into an organisations systems and processes. It helps people understand features and learn how to use something effectively. For example, when you download a new app, there is often a step-by-step tutorial on how to make the most of the software.","The process of introducing and integrating researchers and data consumers onto a TRE's systems, processes, including training, access provisioning, and orientation.",DARE,,,,,,,,,,,,,,,,,,,,,,
LW,Variable,Data in general,"A variable is any characteristic, number, or quantity that is represented in a dataset for each observation. In data analysis,a variable is a symbolic name to represent different types of information in datasets. For example, date of birth is a variable representing when a person was born.
See also: [Characteristic]","A variable is something that can change or have different values. In computing, it refers to a specific piece of information, like ""date of birth,"" ""haemoglobin level,"" or ""diagnosis."" These variables hold different data depending on the situation or individual being considered. For example, the variable ""date of birth"" can have different values for different people, representing their specific birth dates. Variables are used to represent different types of information in datasets.",DM,,,,,,,,,,,,,,,,,,,,,,
SL,Workflow,,"I think the term is too generic and we should remove this. If we want to keep it the term should be ""Computational Workflow""","In TRE-FX, workflow refers to computational workflows for data processing, handling and analysis.  There are many existing workflow systems, we’re focusing on Nextflow and CWL. Workflows in TRE-FX are gathered in WorkflowHub, managed by Manchester. In TRE-FX, workflows are maintained and submitted in the form of RO-Crate and executed within a federated environment of TREs. ",DARE,,,,Either remove or need to completely re-define so it does not reference a specific project.,,,,,,,,,,,,,,,,,,
